"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Ceremony","CeremonyYear"
"Best Actor",NA,"Mr. Deeds Goes to Town","Event-2-1936","tt0027996","Mr. Deeds Goes to Town","nm0000011","Gary Cooper",NA,NA,"002","1936"
"Best Actress","Winner","The Great Ziegfeld","Event-2-1936","tt0027698","The Great Ziegfeld","nm0707023","Luise Rainer",NA,NA,"002","1936"
"Best Actress",NA,"Dodsworth","Event-2-1936","tt0027532","Dodsworth","nm0154183","Ruth Chatterton",NA,NA,"002","1936"
"Best Actress",NA,"Romeo and Juliet","Event-2-1936","tt0028203","Romeo and Juliet","nm0790454","Norma Shearer",NA,NA,"002","1936"
"Best Director","Winner","The Gay Desperado","Event-2-1936","tt0027660","The Gay Desperado","nm0541149","Rouben Mamoulian",NA,NA,"002","1936"
"Best Director",NA,"Fury","Event-2-1936","tt0027652","Fury","nm0000485","Fritz Lang",NA,NA,"002","1936"
"Best Director",NA,"Dodsworth, These Three","Event-2-1936","tt0027532","Dodsworth","nm0943758","William Wyler",NA,NA,"002","1936"
"Best Director",NA,"Dodsworth, These Three","Event-2-1936","tt0028356","These Three","nm0943758","William Wyler",NA,NA,"002","1936"
"Best Film","Winner",NA,"Event-2-1936","tt0027996","Mr. Deeds Goes to Town",NA,NA,NA,NA,"002","1936"
"Best Film",NA,NA,"Event-2-1936","tt0027652","Fury",NA,NA,NA,NA,"002","1936"
"Best Film",NA,NA,"Event-2-1936","tt0027532","Dodsworth",NA,NA,NA,NA,"002","1936"
"Best Film",NA,NA,"Event-2-1936","tt0028511","Winterset",NA,NA,NA,NA,"002","1936"
"Best Foreign Language Film","Winner",NA,"Event-2-1936","tt0026564","Carnival in Flanders",NA,NA,NA,NA,"002","1936"
"Best Foreign Language Film",NA,NA,"Event-2-1936","tt0028116","Generation of Victors",NA,NA,NA,NA,"002","1936"
"Best Foreign Language Film",NA,NA,"Event-2-1936","tt0025898","Toni",NA,NA,NA,NA,"002","1936"
"Best Actor","Winner","On the Waterfront","Event-20-1954","tt0047296","On the Waterfront","nm0000008","Marlon Brando",NA,NA,"020","1954"
"Best Actor",NA,"A Star Is Born","Event-20-1954","tt0047522","A Star Is Born","nm0000051","James Mason",NA,NA,"020","1954"
"Best Actor",NA,"The Barefoot Contessa","Event-20-1954","tt0046754","The Barefoot Contessa","nm0639529","Edmond O'Brien",NA,NA,"020","1954"
"Best Actor",NA,"The Caine Mutiny","Event-20-1954","tt0046816","The Caine Mutiny","nm0000007","Humphrey Bogart",NA,NA,"020","1954"
"Best Actress","Winner","The Country Girl, Rear Window, Dial M for Murder","Event-20-1954","tt0046874","The Country Girl","nm0000038","Grace Kelly",NA,NA,"020","1954"
"Best Actress","Winner","The Country Girl, Rear Window, Dial M for Murder","Event-20-1954","tt0047396","Rear Window","nm0000038","Grace Kelly",NA,NA,"020","1954"
"Best Actress","Winner","The Country Girl, Rear Window, Dial M for Murder","Event-20-1954","tt0046912","Dial M for Murder","nm0000038","Grace Kelly",NA,NA,"020","1954"
"Best Actress",NA,"Sabrina","Event-20-1954","tt0047437","Sabrina","nm0000030","Audrey Hepburn",NA,NA,"020","1954"
"Best Actress",NA,"On the Waterfront","Event-20-1954","tt0047296","On the Waterfront","nm0001693","Eva Marie Saint",NA,NA,"020","1954"
"Best Actress",NA,"A Star Is Born","Event-20-1954","tt0047522","A Star Is Born","nm0000023","Judy Garland",NA,NA,"020","1954"
"Best Actress",NA,"The Glenn Miller Story","Event-20-1954","tt0047030","The Glenn Miller Story","nm0000742","June Allyson",NA,NA,"020","1954"
